Publicidade;Vendas
985,69;120
1445,56;360
1188,19;270
574,51;220
568,95;170
471,81;70
537,35;210
514,07;200
611,48;70
251,19;150
97,97;190
406,81;240
265,4;100
1323,29;250
196,65;210
1326,6;280
1380,69;230
792,35;210
957,17;230
656,14;210
613,7;230
313,36;250
336,51;60
1544,9;330
68,95;150
785,69;150
125,63;180
377,93;80
217,99;180
759,86;130
1163,44;320
842,96;280
125,18;200
236,6;130
669,81;190
612,23;150
922,02;230
1054,03;240
385,05;180
1507,97;220
102,57;40
204,57;190
1170,92;290
689,55;340
784,22;250
405,91;190
179,78;120
607,26;230
1542,33;190
1112,47;210
856,99;170
836,33;310
236,91;90
1077,86;140
579,32;300
1500;340
731,36;170
25,69;100
391,75;200
234;80
275,7;100
56,9;70
255,12;50
566,5;240
102,57;160
250,57;290
68,59;140
642,79;210
1500;300
102,56;230
756,98;280
51,23;160
644,15;200
15,31;110
243,24;110
256,89;70
45,69;190
724,94;70
1126,46;360
135,99;120
237,7;150
976,64;220
1452,69;280
1600;300
268,6;140
900,89;290
982,06;180
201,36;140
746,02;210
1132,88;250
1000;250
75,9;120
1351,25;290
202,71;60
365,99;140
305,27;290
263,27;160
513,69;100
152,61;160
35,99;150
102,57;140
215,37;230
426,78;230
233,29;80
1035,43;190
102,64;90
526,14;120
624,54;150
912,35;230
215,99;150
561,96;210
474,76;180
231,52;140
70,92;10
1567,55;240
263,6;270
1423,57;290
715,68;220
777,24;230
509,43;220
964,11;240
583,63;260
923,37;170
344,39;130
1095,58;270
100,03;140
30,43;60
1080,34;210
799,9;210
1071,75;240
893,36;210
283,16;200
917,02;140
234,57;90
456,9;120
206,97;100
1294,1;360
826,86;180
564,16;150
192,61;110
10,65;90
45,69;160
42,57;230
20,46;40
635,19;60
1002,27;230
1177,05;230
507,64;120
215,69;150
526,48;120
26,9;60
883,88;280
9,1;120
103,57;230
169,58;230
429,5;40
223,64;140
985,97;210
500,92;260
226,65;250
1051,17;200
68,09;150
1547,16;250
393,77;100
804,28;260
801,58;210
450,56;290
26,6;220
179,06;70
345,69;110
295,84;250
1134,58;300
601,43;180
45,3;180
759,52;200
832,87;320
56,89;140
709,4;100
56,9;120
767,13;230
503,17;150
700,93;250
910,85;190
888,57;240
800,62;250
1500;230
785,69;110
